PMID	Title	Keywords	Journal	Institution	Country	Year
37178549	Construction and characterization of a Myceliophthora thermophila lytic polysaccharide monooxygenase mutant S174C/A93C with improved thermostability.	"Biomass conversion, Disulfide bond, Enzyme engineering, Lytic polysaccharide monooxygenase, Molecular mechanism, Thermostability"	Enzyme and microbial technology	"College of Chemical and Biological Engineering, Shandong University of Science and Technology, Qingdao 266590, PR China; Key Laboratory of Industrial Fermentation Microbiology of the Ministry of Education, College of Biotechnology, Tianjin University of Science and Technology, Tianjin 300450, PR China."	China	2023
36238990	Structural and thermostability insights into cellobiohydrolase of a thermophilic mould Myceliophthora thermophila: in-silico studies.	"Cellulase, MD simulation, molecular docking, principal component analysis (PCA), structure modelling, thermostability"	Journal of biomolecular structure & dynamics	"Department of Biological Sciences and Engineering, Netaji Subhas University of Technology, Dwarka, New Delhi, India."	India	2023
37619677	Biochemical characterization of glycoside hydrolase family 31 alpha-glucosidases from Myceliophthora thermophila for alpha-glucooligosaccharide synthesis.	"Isomaltooligosaccharides, Myceliophthora thermophila, alpha-Glucosidases"	International journal of biological macromolecules	"State Key Laboratory of Microbial Technology, Microbial Technology Institute, Shandong University, No.72 Binhai Road, Qingdao 266237, PR China."	China	2023
37445866	Production and Characterization of Cellulose Nanocrystals from Eucalyptus Dissolving Pulp Using Endoglucanases from Myceliophthora thermophila.	"Myceliophthora thermophila, cellulose nanocrystals, endoglucanases, enzymatic characteristics, enzymatic hydrolysis, eucalyptus dissolving pulp"	International journal of molecular sciences	"State Key Laboratory of Microbial Technology, Shandong University, Qingdao 266237, China."	China	2023
37013645	The putative methyltransferase LaeA regulates mycelium growth and cellulase production in Myceliophthora thermophila.	"Cellulase, Fungal growth, Gene regulation, LaeA, Myceliophthora thermophila"	Biotechnology for biofuels and bioproducts	"Key Laboratory of Engineering Biology for Low-carbon Manufacturing, Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, Tianjin, 300308, China."	China	2023
37482151	Modulation of the catalytic activity and thermostability of a thermostable GH7 endoglucanase by engineering the key loop B3.	"Cellulase, Loop, Molecular dynamics (MD) simulation"	International journal of biological macromolecules	"College of Biological Sciences, Beijing Forestry University, Beijing 100083, China."	China	2023
37066045	AA16 Oxidoreductases Boost Cellulose-Active AA9 Lytic Polysaccharide Monooxygenases from Myceliophthora thermophila.		ACS catalysis	"Laboratory of Food Chemistry, Wageningen University & Research, Bornse Weilanden 9, 6708 WG Wageningen, The Netherlands."	The Netherlands	2023
37451383	Staphylococcus aureus microbial biofilms degradation using cellobiose dehydrogenase from Thermothelomyces thermophilus M77.	"Cellobiose dehydrogenase, Enzymatic degradation, Microbial biofilms"	International journal of biological macromolecules	"Sao Carlos Institute of Physics, University of Sao Paulo, 1100 Joao Dagnone Avenue, 13563-120 Sao Carlos, SP, Brazil."	Brazil	2023
37164048	Production of recombinant lytic polysaccharide monooxygenases and evaluation effect of its addition into Aspergillus fumigatus var. niveus cocktail for sugarcane bagasse saccharification.	"Enzymes, Filamentous fungi, LPMO, Saccharification, Secretome, Sugarcane bagasse"	Biochimica et biophysica acta. Proteins and proteomics	"Department of Biotechnology, Lorena School of Engineering, University of Sao Paulo, Lorena, SP, Brazil."	Brazil	2023
36691040	The Weimberg pathway: an alternative for Myceliophthora thermophila to utilize D-xylose.	"1,2,4-Butanetriol, D-Xylose, D-Xylose dehydrogenase, Myceliophthora, Weimberg pathway"	Biotechnology for biofuels and bioproducts	"Key Laboratory of Engineering Biology for Low-carbon Manufacturing, Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, Tianjin, 300308, China."	China	2023
37278305	Polyphenol Oxidase Products Are Priming Agents for LPMO Peroxygenase Activity.	"lytic polysaccharide monooxygenase, monophenol, peroxygenase, polyphenol oxidase, priming reduction"	ChemSusChem	"Department of Biotechnology and Biomedicine, Technical University of Denmark, Soltofts Plads 221, 2800, Kgs Lyngby, Denmark."	Denmark	2023
36542100	Dissecting key residues of a C4-dicarboxylic acid transporter to accelerate malate export in Myceliophthora.	"C4-dicarboxylic acid;, Malate export, Myceliophthora;, Protein rewiring;"	Applied microbiology and biotechnology	"Key Laboratory of Systems Microbial Biotechnology, Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, Tianjin, 300308, China."	China	2023
36162644	A fatal case of pneumonia caused by Thermothelomycesthermophila.	"Acute lymphoblastic leukemia, Antifungal susceptibility testing, Invasive pulmonary infection, Thermothelomyces thermophila"	Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy	"Department of Laboratory Medicine, Seoul St. Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, South Korea."	South Korea	2023
36602562	"Laccase multi-point covalent immobilization: characterization, kinetics, and its hydrophobicity applications."	"Covalent immobilization, Grafting, Immobead 150P, Laccase, Thermodynamics, Wood hydrophobization"	Applied microbiology and biotechnology	"Microbial Chemistry Department, Biotechnology Research Institute, National Research Centre, Dokki, Giza, 12622, Egypt. othmanam_nrc@yahoo.com."	Egypt	2023
36799667	Biochemical characteristics of Myceliophthora thermophila recombinant beta-glucosidase (MtBgl3c) applicable in cellulose bioconversion.	"Cellulase, cellulose saccharification, glucose and ethanol tolerance, thermostable, beta-glucosidase"	Preparative biochemistry & biotechnology	"Department of Biological Sciences and Engineering, Netaji Subhas University of Technology, Azad Hind Fauj Marg, Dwarka, New Delhi, India."	India	2023
37974259	Development of an efficient protein expression system in the thermophilic fungus Myceliophthora thermophila.	"""5UTR"", Myceliophthora thermophila, Promoter, Protein expression, Signal peptide"	Microbial cell factories	"State Key Laboratory of Animal Nutrition and Feeding, Institute of Animal Sciences, Chinese Academy of Agricultural Sciences, Beijing, 10093, China."	China	2023
38029111	Highly efficient synergistic activity of an alpha-L-arabinofuranosidase for degradation of arabinoxylan in barley/wheat.	"arabinoxylan, catalytic residues, enzyme synergism, site-directed mutagenesis, alpha-L-arabinofuranosidase"	Frontiers in microbiology	"State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, China Agricultural University, Beijing, China."	China	2023
36686237	Breeding of a thermostable xylanase-producing strain of Myceliophthora thermophila by atmospheric room temperature plasma (ARTP) mutagenesis.	"ARTP, Myceliophthora thermophila, antioxidase, thermotolerant mutant, xylanase"	Frontiers in bioengineering and biotechnology	"Key Lab of Biomass Energy and Material, Key Lab of Chemical Engineering of Forest Products, National Engineering Research Center of Low-Carbon Processing and Utilization of Forest Biomass, Jiangsu Co-Innovation Center of Efficient Processing and Utilization of Forest Resource, National Forestry and Grassland Administration, Institute of Chemical Industry of Forest Products, Chinese Academy of Forestry (CAF), Nanjing, Jiangsu, China."	China	2022
35205873	Engineered Fungus Thermothelomyces thermophilus Producing Plant Storage Proteins.	"Myceliophthora thermophila, amaranth albumin A1, filamentous fungi, maize alpha-zein, mycoprotein, recombinant protein"	"Journal of fungi (Basel, Switzerland)"	"G.B. Elyakov Pacific Institute of Bioorganic Chemistry, Far Eastern Branch of the Russian Academy of Sciences, Prospect 100-letya Vladivostoka 159, 690022 Vladivostok, Russia."	Russia	2022
35757805	Modifying Surface Charges of a Thermophilic Laccase Toward Improving Activity and Stability in Ionic Liquid.	"docking simulation, ionic liquid, lignin, lignin degrading enzymes, surface modifacation"	Frontiers in bioengineering and biotechnology	"Biosystems and Agricultural Engineering, University of Kentucky, Lexington, KY, United States."	USA	2022
35017571	Berberine bridge enzyme-like oxidase-catalysed double bond isomerization acts as the pathway switch in cytochalasin synthesis.		Nature communications	"College of Pharmaceutical Sciences, Southwest University, Chongqing, 400715, China."	China	2022
36506193	Identification of Thermostable Xylose Reductase from Thermothelomyces thermophilus: A Biochemical Characterization Approach to Meet Biofuel Challenges.		ACS omega	"Centre for Interdisciplinary Research in Basic Sciences, Jamia Millia Islamia, New Delhi110025, India."	India	2022
36567332	Diarylation of thiazolopyrimidines by laccase and their in vitro evaluation as antitumor agents.		Scientific reports	"Department of Organic and Inorganic Chemistry, Faculty of Chemistry, Shahid Beheshti University, G.C., Tehran, Iran."	Iran	2022
36560529	Thermophilic Filamentous Fungus C1-Cell-Cloned SARS-CoV-2-Spike-RBD-Subunit-Vaccine Adjuvanted with Aldydrogel((R))85 Protects K18-hACE2 Mice against Lethal Virus Challenge.	"BALB/c mice, C-tag, CHO-cell, COVID-19, IgG, IgG1 and IgG2b, K18-hACE-2 mice, Myceliophthora thermophila, RBD, SARS-CoV-2, Thermothelomyces heterothallica, adjuvant, alum, aluminum-based vaccine adjuvants, antigen, baculovirus, biomanufacturing, dyadic, efficacy, glycans, glycoprotein, glycosylation, insect cells, intranasal challenge, neutralizing antibodies, pandemic, receptor binding domain, recombinant protein subunit vaccine, stability, toxicology, vaccine, variants of concern, virus, zoonotic"	Vaccines	"Department of Biotechnology, Israel Institute for Biological Research, Ness-Ziona 7410001, Israel."	Israel	2022
36546909	Enzymatic Oxidation of Ferulic Acid as a Way of Preparing New Derivatives.	"LC-MS, RMN, anti-proliferative, antioxidant, enzymatic oxidation"	Biotech (Basel (Switzerland))	"Laboratory of Biomolecules Engineering (LIBio), Lorraine University, 2 avenue de la Foret de Haye, TSA40602, F-54518 Vandoeuvre-les Nancy, France."	France	2022
35214607	The Highly Productive Thermothelomyces heterothallica C1 Expression System as a Host for Rapid Development of Influenza Vaccines.	"Thermothelomyces heterothallica C1, filamentous fungi, influenza vaccine, recombinant protein expression, targeted influenza hemagglutinin, trimeric influenza hemagglutinin"	Vaccines	"Dyadic International Inc., 140 Intracoastal Pointe Drive, Suite 404, Jupiter, FL 33477, USA."	USA	2022
34921331	Development of a flow cytometry-based plating-free system for strain engineering in industrial fungi.	"Aspergillus niger, CRISPR-Cas9, Flow cytometry, Glucoamylase, Myceliophthora thermophila, Plating-free"	Applied microbiology and biotechnology	"College of Biotechnology, Tianjin University of Science & Technology, Tianjin, 300457, China."	China	2022
35847290	Role of Surface Enhancement in the Enzymatic Cross-Linking of Lignosulfonate Using Alternative Downstream Techniques.		ACS omega	"Wood Kplus - Competence Center for Wood Composites & Wood Chemistry, Kompetenzzentrum Holz GmbH, Altenberger Strasse 69, Linz A-4040, Austria."	Austria	2022
34155677	Green synthesis of glyco-phenol by enzymatic coupling between ferulic acid and glucosamine: An ecofriendly procedure.	"ferulic acid, functional properties, glucosamine, glyco-phenol, laccase"	Biotechnology and applied biochemistry	"Laboratory of Biomolecules Engineering (LIBio), Lorraine University, Vandoeuvre-les-Nancy, France."	France	2022
33413029	Structural aspects of beta-glucosidase of Myceliophthora thermophila (MtBgl3c) by homology modelling and molecular docking.	"3D protein structure, Cellulases, cellobiose, homology modelling, molecular docking, beta-glucosidase"	Journal of biomolecular structure & dynamics	"Department of Biological Sciences and Engineering, Netaji Subhas Institute of Technology (University of Delhi), New Delhi, India."	India	2022
36174898	Deciphering the efficient cellulose degradation by the thermophilic fungus Myceliophthora thermophila focused on the synergistic action of glycoside hydrolases and lytic polysaccharide monooxygenases.	"Cellulose degradation, Glycoside hydrolase, Lytic polysaccharide monooxygenase, Myceliophthora thermophila, Synergy"	Bioresource technology	"State Key Laboratory of Animal Nutrition, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing 100193, China."	China	2022
35056890	Evaluation of Antibacterial and Antifungal Properties of Low Molecular Weight Chitosan Extracted from Hermetia illucens Relative to Crab Chitosan.	"Hermetia illucens, antibacterial activity, antifungal activity, chitosan, depolymerisation, insect"	"Molecules (Basel, Switzerland)"	"Institute of Bioengineering, Research Centre of Biotechnology, Russian Academy of Sciences, 119071 Moscow, Russia."	Russia	2022
35450635	Extending the diversity of Myceliophthora thermophila LPMOs: Two different xyloglucan cleavage profiles.	"Active site segment, LPMOs, Lignocellulose, Mass spectrometric fragmentation, Oxidative cleavage, Reduction, Xyloglucan"	Carbohydrate polymers	"Laboratory of Food Chemistry, Wageningen University & Research, Bornse Weilanden 9, 6708, WG, Wageningen, the Netherlands. Electronic address: peicheng.sun@wur.nl."	The Netherlands	2022
36478865	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila.	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase, Myceliophthora thermophila, filamentous fungi, glycolysis, metabolic engineering, metabolic regulation"	Frontiers in microbiology	"College of Biotechnology, Tianjin University of Science and Technology, Tianjin, China."	China	2022
35608343	Development of an Efficient C-to-T Base-Editing System and Its Application to Cellulase Transcription Factor Precise Engineering in Thermophilic Fungus Myceliophthora thermophila.	"CRISPR/Cas9 system, MtCLR-2, Myceliophthora thermophila, base editing, cellulase, cytosine base editor, precise engineering"	Microbiology spectrum	"Key Laboratory of Systems Microbial Biotechnology, Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, Tianjin, People's Republic of China."	China	2022
36165620	"MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora thermophila."	"ER stress, MtHAC-1, MtTRC-1, Mtcbh-1, Myceliophthora thermophila, cellulase production, thermophilic fungi, transcription factor"	Applied and environmental microbiology	"College of Biotechnology, Tianjin University of Science & Technology, Tianjin, China."	China	2022
35257374	Reconstruction and analysis of genome-scale metabolic model for thermophilic fungus Myceliophthora thermophila.	"Myceliophthora thermophila, genome-scale metabolic model, thermophilic fungi, transcriptomics"	Biotechnology and bioengineering	"Key Laboratory of Systems Microbial Biotechnology, Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, Tianjin, China."	China	2022
33521846	"Strategic aromatic residues in the catalytic cleft of the xyloglucanase MtXgh74 modifying thermostability, mode of enzyme action, and viscosity reduction ability."	"GH74 family, Glycoside hydrolase, Mode of action, Thermostability, Viscosity reduction, Xyloglucan, Xyloglucanase"	Applied microbiology and biotechnology	"National Research Centre ""Kurchatov Institute"" - GOSNIIGENETIKA, Kurchatov Genomic Center, 1-st Dorozhniy pr. 1, Moscow, Russian Federation, 117545. mashchenko@yandex.ru."	Russia	2021
33741634	Considerations Regarding Activity Determinants of Fungal Polyphenol Oxidases Based on Mutational and Structural Studies.	"Thermothelomyces thermophila, X-ray structure, kinetic analysis, polyphenol oxidase, protein engineering, site-directed mutagenesis, tyrosinase"	Applied and environmental microbiology	"Industrial Biotechnology & Biocatalysis Group, Biotechnology Laboratory, School of Chemical Engineering, National Technical University of Athens, Athens, Greece."	Greece	2021
33765291	Biochemical characterization and enhanced production of endoxylanase from thermophilic mould Myceliophthora thermophila.	"Endoxylanase, Myceliophthora thermophila, Nutrition, Poultry feed, Production, Purification"	Bioprocess and biosystems engineering	"Laboratory of Bioprocess Technology, Department of Microbiology, Maharshi Dayanand University, Rohtak, Haryana, 124001, India."	India	2021
34722005	Oxidized Product Profiles of AA9 Lytic Polysaccharide Monooxygenases Depend on the Type of Cellulose.		ACS sustainable chemistry & engineering	"Laboratory of Food Chemistry, Wageningen University & Research, Bornse Weilanden 9, 6708 WG Wageningen, The Netherlands."	The Netherlands	2021
33712158	Light-stimulated T. thermophilus two-domain LPMO9H: Low-resolution SAXS model and synergy with cellulases.	"CAZymes, Cellulose, Lytic polysaccharide monooxygenase"	Carbohydrate polymers	"Sao Carlos Institute of Physics, University of Sao Paulo, Av. Trabalhador Sao-carlense 400, Sao Carlos, Sao Paulo, Brazil."	Brazil	2021
34771293	Screening of Lignocellulolytic Enzyme Activities in Fungal Species and Sequential Solid-State and Submerged Cultivation for the Production of Enzyme Cocktails.	"Fusarium sp., different fungal species, lignocellulolytic enzymes, pretreated corn cobs, sequential solid state and submerged cultivation, single and mixed fungal species cultivation"	Polymers	"Laboratory for Biochemical Engineering, Industrial Microbiology and Malting and Brewing Technology, Department of Biochemical Engineering, Faculty of Food Technology and Biotechnology, University of Zagreb, 10000 Zagreb, Croatia."	Croatia	2021
32871114	Function-related asymmetry of the specific cardiolipin binding sites on the mitochondrial ADP/ATP carrier.	"ADP/ATP carrier (AAC), Cardiolipin (CL), Mitochondrial carrier family (MCF), Molecular dynamics (MD) simulation, Transporter"	Biochimica et biophysica acta. Biomembranes	"Division of Medical Genetics and Genomics, The Children's Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang 310052, China; Institute of Genetics, Department of Genetics, Zhejiang University School of Medicine, Hangzhou, Zhejiang 310058, China."	China	2021
34168079	The F-box protein gene exo-1 is a target for reverse engineering enzyme hypersecretion in filamentous fungi.	"CAZyme gene regulation, F-box proteins, Neurospora crassa, enzyme hypersecretion, fungal biotechnology"	Proceedings of the National Academy of Sciences of the United States of America	"Deconstruction Division, Joint BioEnergy Institute, Emeryville, CA 94608."	USA	2021
33995328	Transcriptional Profiling of Myceliophthora thermophila on Galactose and Metabolic Engineering for Improved Galactose Utilization.	"Myceliophthora, galactose transport, galactose utilization, metabolic engineering, transcriptomic profiles"	Frontiers in microbiology	"College of Biotechnology, Tianjin University of Science and Technology, Tianjin, China."	China	2021
34489043	Structural studies of Myceliophthora Thermophila Laccase in the presence of deep eutectic solvents.	"Crystallization, Deep eutectic solvent, Laccase"	Enzyme and microbial technology	"Voiland School of Chemical Engineering and Bioengineering - Washington State University, 2710 Crimson Way, Richland, WA, 99354, USA."	USA	2021
34153346	Survival of thermophilic fungi in various preservation methods: A comparative study.	"Cryopreservation, Freezing, Long-term preservation, Low temperature, Lyophilization, Preservation, Sub-culturing, Thermophilic fungi"	Cryobiology	"Kutahya Health Sciences University, Training and Research Center, 43100, Kutahya, Turkey. Electronic address: derya.berikten@ksbu.edu.tr."	Turkey	2021
34735642	Recombinant cellobiohydrolase of Myceliophthora thermophila: characterization and applicability in cellulose saccharification.	"Alkalistable, Cellulose saccharification, Extremozyme, Recombinant cellobiohydrolase, Solvent tolerance, Thermostable cellulose"	AMB Express	"Department of Biological Sciences & Engineering, Netaji Subhas Institute of Technology (University of Delhi), Azad Hind Fauj Marg, Sector-3 Dwarka, New Delhi, 110078, India."	India	2021
34336809	Enzyme Catalyzed Copolymerization of Lignosulfonates for Hydrophobic Coatings.	"coating, coupling, fluorophenol, hydrophobicity, laccase, lignosulfonate, modification"	Frontiers in bioengineering and biotechnology	"Institute of Environmental Biotechnology, University of Natural Resources and Life Sciences, Tulln, Austria."	Austria	2021
34631225	Accessing Chemo- and Regioselective Benzylic and Aromatic Oxidations by Protein Engineering of an Unspecific Peroxygenase.		ACS catalysis	"Bioorganic Chemistry, Leibniz Institute of Plant Biochemistry, Weinberg 3, 06120 Halle, Germany."	Germany	2021
33222033	Improving enzyme production by solid-state cultivation in packed-bed bioreactors by changing bed porosity and airflow distribution.	"Cellulase, Fixed bioreactor, Packing density, Scale-up, Solid-state fermentation"	Bioprocess and biosystems engineering	"Food Engineering and Technology Department, Institute of Biosciences, Letters and Exact Sciences, Sao Paulo State University (UNESP), Cristovao Colombo, 2265, Jardim Nazareth, Sao Jose Do Rio Preto, SP, 15054-000, Brazil. lopesperezcaroline@gmail.com."	Brazil	2021
32640074	Growth kinetics of Myceliophthora thermophila M.7.7 in solid-state cultivation.	"N-acetylglucosamine, enzymes, growth kinetics, logistic model, solid-state cultivation"	Journal of applied microbiology	"Instituto de Biociencias, Letras e Ciencias Exatas, Universidade Estadual Paulista (UNESP), Rua Cristovao Colombo 2265, Sao Jose do Rio Preto Sao Paulo, Brazil."	Brazil	2021
33807631	Prospection of Fungal Lignocellulolytic Enzymes Produced from Jatoba (Hymenaea courbaril) and Tamarind (Tamarindus indica) Seeds: Scaling for Bioreactor and Saccharification Profile of Sugarcane Bagasse.	"Hymenaea courbaril, Tamarindus indica, bioprospecting, enzymes, lignocellulosic biomass"	Microorganisms	"Departamento de Bioquimica e Imunologia, Faculdade de Medicina de Ribeirao Preto, Universidade de Sao Paulo, Ribeirao Preto 14049-900, Brazil."	Brazil	2021
35127677	Designing and Constructing a Novel Artificial Pathway for Malonic Acid Production Biologically.	"Myceliophthora thermophila, a-keto decarboxylase, malonic acid, metabolic engineering, oxaloacetic acid"	Frontiers in bioengineering and biotechnology	"Key Laboratory of Systems Microbial Biotechnology, Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, Tianjin, China."	China	2021
33352160	Polymer functionalization through an enzymatic process: Intermediate products characterization and their grafting onto gum Arabic.	"Ferulic acid, Functionalization, Gum Arabic, Oxidation product, Phenol grafting"	International journal of biological macromolecules	"Universite de Lorraine, LIBio, F-54000 Nancy, France."	France	2021
34771228	Laccase-Mediator System Using a Natural Mediator as a Whitening Agent for the Decolorization of Melanin.	"decolorization, laccase, melanin, natural mediators"	Polymers	"Department of Biological Engineering, Konkuk University, Seoul 05029, Korea."	Korea	2021
34560965	Unique features of the bifunctional GH30 from Thermothelomyces thermophila revealed by structural and mutational studies.	"Acidic xylooligosaccharides, GH30 xylanase, Glucuronic acid recognition, Protein engineering, X-ray structure, Xylobiohydrolase"	Carbohydrate polymers	"Industrial Biotechnology & Biocatalysis Group, Biotechnology Laboratory, School of Chemical Engineering, National Technical University of Athens, Athens, Greece."	Greece	2021
35155404	Enzymatic Oxidation of Ca-Lignosulfonate and Kraft Lignin in Different Lignin-Laccase-Mediator-Systems and MDF Production.	"2,6-dimethoxyphenol, Ca-lignosulfonate, MDF, asco-laccase MtL, basi-laccase CcLcc5, guaiacol, kraft lignin, mediator"	Frontiers in bioengineering and biotechnology	"Department of Molecular Wood Biotechnology and Technical Mycology, Busgen-Institute, Georg-August-University of Gottingen, Gottingen, Germany."	Germany	2021
31309856	Isolation and characterization of a new cytotoxic polyketide-amino acid hybrid from Thermothelomyces thermophilus ATCC 42464.	"Polyketide-amino acid, Thermothelomyces thermophilus, anticancer, decalin, hybrid"	Natural product research	"Engineering Research Center of Industrial Microbiology, College of Life Sciences, Fujian Normal University, Fuzhou, China."	China	2021
33905799	Isolation and modification of nano-scale cellulose from organosolv-treated birch through the synergistic activity of LPMO and endoglucanases.	"LPMO biocatalysis, Nanocellulose, Post-treatment modification/functionalization"	International journal of biological macromolecules	"Biochemical Process Engineering, Chemical Engineering, Department of Civil, Environmental and Natural Resources Engineering, Lulea University of Technology, 97187 Lulea, Sweden."	Sweden	2021
34556173	Coordination of consolidated bioprocessing technology and carbon dioxide fixation to produce malic acid directly from plant biomass in Myceliophthora thermophila.	"CBB cycle, CO2-fixation, Malic acid, Metabolic engineering, Myceliophthora, Plant biomass"	Biotechnology for biofuels	"Key Laboratory of Systems Microbial Biotechnology, Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences, Tianjin, 300308, China."	China	2021
34513809	Improved Production of Xylanase in Pichia pastoris and Its Application in Xylose Production From Xylan.	"Myceliophthora thermophila, Pichia pastoris, hydrolytic activity, improved production, xylan, xylanase, xylose"	Frontiers in bioengineering and biotechnology	"State Key Laboratory of Agro-Biotechnology, College of Biological Sciences, China Agricultural University, Beijing, China."	China	2021
34489024	Kinetic and thermodynamic study of laccase cross-linked onto glyoxyl Immobead 150P carrier: Characterization and application for beechwood biografting.	"Biografting, Immobilization, Kinetics, Laccase, Wood hydrophobization"	Enzyme and microbial technology	"Bioengineering and Sustainable Processes Research Group, Department of Chemical Engineering, University of Vigo, Vigo, 36310, Spain; Microbial Chemistry Department, Genetic Engineering and Biotechnology Research Division, National Research Centre, Dokki, Giza, 12622, Egypt. Electronic address: am.othman@nrc.sci.eg."	Egypt	2021
33461124	Fed-batch production of Thermothelomyces thermophilus lignin peroxidase using a recombinant Aspergillus nidulans strain in stirred-tank bioreactor.	"Fed-batch fermentation, Fungal enzyme production, Heterologous protein expression, Lignin-degrading enzymes, Process optimization"	Bioresource technology	"Department of Biological Systems Engineering, University of Nebraska-Lincoln, Lincoln, NE 68583, USA."	USA	2021
32253539	Construction of a new thermophilic fungus Myceliophthora thermophila platform for enzyme production using a versatile 2A peptide strategy combined with efficient CRISPR-Cas9 system.	"2A peptide, CRISPR-Cas9, Co-expression, MhGlaA, Myceliophthora thermophile, Platform"	Biotechnology letters	"College of Biotechnology, Tianjin University of Science and Technology, Tianjin, 300457, China."	China	2020
