Name	FC	PValue	Marker
LRRC7	1.467984297	0.034037308	
DERA	0.645887243	0.034164664	
KRT3	4.001457843	0.034176061	
RAB14	0.689344249	0.034637572	
SCFD1	1.156430093	0.034658969	
RAP1B	0.552501351	0.034956868	
GOLGA3	1.20115281	0.035250648	
TMEM263	0.224870807	0.035460172	
PRKAR1A	0.623372067	0.035632494	
ENDOD1	0.661367864	0.036905186	
BTD	1.275274775	0.037163768	
IGFBP5	1.339635665	0.037233081	
LPA	1.518962241	0.037249013	
C9	1.55599324	0.037422905	
C1S	1.264473172	0.037717974	
HSPA1A	0.784672391	0.03779869	
APOD	1.341026902	0.037830424	
PPP1R9B	0.414600599	0.038270871	
SLC7A1	0.449009218	0.038400001	
PLA2G2A	1.318977121	0.038412711	
MED30	1.343068867	0.038736217	
NAP1L1	0.663297158	0.038910864	
IGFALS	1.282132933	0.039012082	
IGFBP4	1.344492135	0.039061097	
MYO9B	0.561624738	0.039566775	
F12	1.447471212	0.039671082	
ALAD	0.676846754	0.039817591	
UBE2V1	0.783843743	0.039845852	
TBC1D10C	1.545103208	0.040538158	
ARPC1B	0.46495878	0.040950612	
SRC	0.622629053	0.041018169	
MSN	0.721897483	0.041071281	
PLIN4	1.404420439	0.041087529	
PDLIM1	0.522718624	0.041172497	
F11	1.303733393	0.041500129	
IGHV3-23	0.464427241	0.041695866	
MYO1G	1.220785785	0.042163886	
ALB	0.756290284	0.042185914	
TRIM58	0.594713212	0.042335342	
ITGA6	0.528143229	0.042536541	
BPIFA1	1.454364931	0.042700732	
KRT8	1.460011072	0.042983071	
SERPINA11	1.519084388	0.043022124	
CPN1	1.488020888	0.043071238	
STXBP2	0.647453051	0.043415313	
PDLIM7	0.519501338	0.043907811	
CEP170	1.350778897	0.044335712	
EEF2	1.294918266	0.044570198	
KRT77	1.974273066	0.04482618	
ZYX	0.603713901	0.045144847	
ILK	0.562759009	0.045170862	
EIF2S2	0.781235902	0.045294447	
YBX1	1.33443397	0.045294511	
NPEPL1	1.231743206	0.04544088	
UQCRC1	1.812010677	0.045610473	
BCAS3	1.342931222	0.045625083	
SLC14A1	0.540547284	0.046188012	
STX11	0.535525231	0.046189919	
HSPA9	0.472973408	0.046193659	
ROCK2	1.516408901	0.04694959	
SAR1A	0.524496736	0.047091786	
ARFGEF2	1.591278335	0.0473835	
AMBP	1.193142235	0.047605725	
EIF2A	0.466718479	0.048668568	
PGRMC2	0.666941694	0.048819646	
VIT	1.38314621	0.048978788	
FERMT3	0.615759993	0.049311211	
MGAT1	1.279088861	0.04965464	
ADGRE2	1.39952203	0.050918377	
RPN2	1.644712853	0.050978473	
TFPI2	1.357631374	0.051444987	
CLIC4	1.582350925	0.051886591	
PROC	1.409121836	0.051941693	
PDIA6	0.57438953	0.052006354	
PSMB10	1.268041831	0.052576378	
BCAM	0.710482305	0.052576503	
SULT1A3	0.596196288	0.052782222	
YWHAE	0.629384302	0.052980618	
RALB	0.797831328	0.053764896	
RAB8B	0.669456682	0.054193022	
APOC4	1.336326786	0.054397819	
CPT1A	1.476493076	0.055363656	
SH3GL1	1.608533741	0.055422833	
SLC9A3R1	1.168065815	0.055629902	
DHX29	0.31376919	0.055820394	
DNM1L	0.676283302	0.05624532	
PLA2G7	1.28632574	0.056746303	
HNRNPUL1	0.596104597	0.057304288	
TLN1	0.517550308	0.057476926	
ARPC2	0.577494305	0.05836035	
PRMT3	1.182265211	0.058732286	
B2M	0.751791315	0.058854901	
PMVK	1.234168294	0.058925839	
CDC42	0.784837376	0.059092022	
SERPING1	1.279795522	0.059189773	
CCDC80	1.404855009	0.060040946	
TMEM63B	0.514480059	0.060283164	
MAPK1	1.179754027	0.060598004	
EIF4G1	0.702789325	0.060783079	
ATP6V0D1	0.69250284	0.06079156	
APOA5	1.313521973	0.061233658	
ANK3	0.727254136	0.061651248	
CCL14	1.239288576	0.061790516	
RPS23	0.536298399	0.062029594	
CORO1C	0.596171097	0.062287229	
EPS15	1.252484707	0.062349606	
CSRP1	0.549640599	0.062410984	
PRDX1	0.828471718	0.06316746	
PA2G4	1.270025803	0.063390086	
RAN	0.7198635	0.06339646	
SDCBP	0.49170883	0.063417165	
BROX	1.369415285	0.064394677	
OLFM4	0.17101065	0.064694726	
MAPRE2	0.557390369	0.065259687	
VSIR	0.597258732	0.065276874	
ABCE1	1.6394089	0.065386143	
NOP58	1.808548421	0.065548026	
BIN2	0.660303559	0.066140593	
TAGLN2	0.574377185	0.066381373	
PRTN3	1.305353188	0.067144012	
HSPE1	0.69544243	0.067358098	
GP9	0.483000728	0.067938111	
SRGN	0.579081056	0.068126224	
GNA13	0.695675142	0.068516721	
CPZ	1.324822515	0.069615841	
CCL16	1.31840582	0.069642702	
CCL19	1.543568248	0.069859417	
PDAP1	1.204210458	0.069973105	
DSTN	0.717184716	0.070429911	
PTPRC	0.746385915	0.071218285	
ATL3	0.524449541	0.071374378	
RTRAF	1.26377142	0.071669942	
CDC5L	0.658755635	0.072250013	
GSN	0.837703583	0.072252146	
ARPC5	0.576129348	0.072308015	
ITIH3	1.318339664	0.072338377	
GP1BB	0.489112394	0.072402676	
RALA	0.722763234	0.072517902	
ACTR1A	0.513351596	0.073243259	
DIAPH1	0.772729229	0.074486947	
NCF4	0.620364901	0.074577894	
HNRNPA1	1.614696041	0.074805652	
CCDC124	0.742125709	0.075034938	
PDCD6IP	0.454936605	0.075059318	
TKT	1.205790682	0.075326046	
LRRC25	0.576772524	0.075903003	
FBL	1.275200839	0.076401362	
PDGFD	1.738040335	0.078043424	
ME2	1.195332805	0.078142937	
PTPRJ	0.654812985	0.079001402	
ST13	0.750386248	0.079196213	
PKLR	1.454254037	0.080188056	
ACHE	0.828199234	0.080487525	
ALDOA	0.65565706	0.081071886	
PDHA1	1.422199986	0.081103165	
C5	1.266416496	0.081114081	
TNFAIP8L2	1.346988108	0.081730226	
LDHA	0.652364929	0.082043426	
PIN4	1.274581206	0.082684496	
HPRT1	0.81460473	0.082811286	
NCEH1	0.671903644	0.083213611	
PLS3	1.400559859	0.083551147	
LRBA	0.796489675	0.083584316	
MT-CO2	0.454064827	0.083589729	
ARPC3	0.789012224	0.083869311	
EEF1D	0.718272103	0.083999741	
FBLN1	1.2270164	0.084432086	
CLU	1.206851249	0.085358508	
SND1	2.513810884	0.085442485	
BRK1	1.436582114	0.085677148	
PABPC1L	0.413388867	0.08575007	
APEH	1.188013255	0.085763887	
CEP41	0.486760298	0.086073941	
PPP2R5D	1.300206271	0.086287039	
DYNC1H1	1.299933549	0.086288466	
RAB4B	0.442052002	0.086365732	
RPL13A	0.543628981	0.087094628	
FCN3	0.725011741	0.087397734	
U2AF2	0.48840218	0.087408885	
KRT27	2.011132831	0.087453482	
PPIF	0.550126231	0.087762401	
ACTR2	0.595692968	0.087961518	
IGHV2-26	0.636598824	0.088035849	
PDE3A	1.362288049	0.088211893	
S100A7	1.146108621	0.088226107	
UNC13D	1.251355378	0.088307831	
SLC44A1	0.7352573	0.088917926	
IGHV1-18	1.360252071	0.089438999	
GRN	1.193560327	0.08949858	
PCSK9	1.237549137	0.089668698	
ALDH1A1	1.570425427	0.089701545	
EIF4G2	0.631451341	0.090230171	
RPL19	1.27986661	0.091315444	
IGFBP2	1.480964004	0.091564103	
CUL1	1.17091317	0.092028478	
ECM2	1.303189156	0.092695861	
PFN1	0.557465726	0.094337955	
VASP	0.641142869	0.09444284	
RPS24	0.728741273	0.094511087	
PLIN3	1.266686302	0.094730991	
C2	1.120229553	0.096132325	
RAB32	0.544797622	0.097022988	
STIM1	0.432402761	0.097399097	
DNAJB1	0.808524237	0.097450109	
HCLS1	2.574198695	0.097507831	
NNT	0.475369784	0.097510699	
TBC1D10B	0.754567972	0.097690739	
MYH7	0.565530117	0.098008893	
ATP5F1B	0.740903094	0.098280111	
TNNI2	1.370516667	0.099383162	
CALM1	0.764375427	0.099606186	
GPD2	0.483419029	0.099622715	
PTGS1	0.420104686	0.100184978	
ABHD16A	0.452691732	0.100299178	
MGP	1.21510947	0.101281646	
ARHGDIA	1.634172774	0.102467794	
CD2AP	0.598146857	0.102821415	
FHL1	0.550361656	0.102886797	
VTA1	0.626801221	0.102932779	
SPN	0.628944294	0.103305903	
THBS4	1.239069263	0.104570009	
PRDX3	0.527481422	0.104625686	
CFD	1.305221695	0.104729125	
EZR	0.604755937	0.104790859	
SH3PXD2B	0.585578782	0.105123053	
ERAP1	1.422581664	0.105268521	
TCP1	0.845633486	0.105668155	
CD109	0.628927533	0.105799991	
DDOST	0.719976399	0.105839951	
UBA1	2.564795881	0.106445967	
GATD1	0.46094994	0.10667816	
DOCK8	0.595074641	0.107444116	
RTCB	0.757477559	0.107813887	
APCS	1.306867776	0.108991613	
ENO2	3.012691928	0.109078885	
RAB5B	0.725709766	0.109254634	
GOT2	1.259742974	0.109403471	
NPEPPS	0.697539902	0.109640563	
EXOSC8	1.375040665	0.109897421	
PGK1	1.19674167	0.110025433	
MYH10	0.389244089	0.110312572	
C8B	1.271010243	0.110484284	
SNED1	1.363396548	0.110522585	
F13A1	0.594880596	0.110672917	
PAK4	0.543428519	0.110861196	
SAV1	0.577416858	0.111060299	
VCL	0.613753745	0.111253356	
SF1	0.340287412	0.111497522	
ACTN4	0.765071616	0.112199595	
NCF1	1.803916997	0.112279311	
PGAM1	0.617196489	0.112755301	
CALD1	0.611998667	0.114354299	
CD226	0.600885928	0.114566695	
UNC45A	0.558469078	0.114910509	
CD36	0.599780167	0.11505444	
ITIH4	1.160487401	0.115167678	
MAN1A1	1.208152254	0.115867706	
MTSS1	0.585640092	0.116170713	
SLC25A3	0.593650823	0.11628989	
PCOLCE	1.331878988	0.116524095	
GET3	0.757520947	0.116913187	
EIF2S1	1.508062379	0.116956042	
RNASE4	1.190601399	0.117681095	
SNAP91	1.154896211	0.117944699	
ZNF185	1.419107567	0.118251232	
UBA7	1.167053197	0.118373251	
APOL1	1.17757936	0.119455725	
CDKN1A	1.399819956	0.119553875	
GNAZ	0.66933153	0.119603957	
RAB8A	0.87487774	0.119675995	
ECM1	0.810141523	0.11976664	
ARHGAP4	1.208563593	0.119947631	
TMEM63A	0.415736481	0.120289733	
CCNY	1.428423734	0.120519407	
IGLC3	0.604674221	0.120711118	
CAPN1	0.733352173	0.12125015	
C6	1.191963024	0.121376656	
GNAS	0.833208772	0.121417205	
STEAP3	0.585697759	0.121899131	
TREML1	0.616137831	0.122612626	
GMPR	0.765473532	0.122746783	
HADH	0.366639829	0.123186359	
QSOX1	1.177677983	0.123247716	
SHBG	2.051604793	0.123300564	
TMEM256	0.642580791	0.124273417	
TF	0.822428592	0.124386178	
ITIH2	1.286497217	0.124896353	
NME1	0.703530413	0.124976608	
FETUB	1.174071336	0.12575374	
DYNLL1	0.559864634	0.1260904	
SEPTIN6	0.756701306	0.126094334	
RPS17	0.793392138	0.126535151	
ANGPTL8	1.495313146	0.126689831	
IGKV1-27	2.07078258	0.126716404	
COL1A1	1.199355609	0.128021769	
LDHB	0.669530237	0.128211682	
CFHR3	5.594769158	0.128463716	
ERMAP	0.492812905	0.128693402	
ICAM3	0.739135622	0.128741435	
GIT1	1.201602447	0.128798925	
VCPIP1	0.7192227	0.130530308	
CFHR5	1.199603883	0.130835744	
PRB2	1.677851111	0.131802921	
ATF6B	1.356168175	0.132300133	
LANCL1	1.396713162	0.133100098	
USO1	0.608539045	0.133538264	
F8A1	1.256932363	0.133585895	
VPS4B	0.697276544	0.134221267	
IGHG4	0.725356749	0.134350773	
YWHAZ	0.612873242	0.134906184	
YWHAH	0.653279937	0.135763472	
IGHV3-64D	0.682761053	0.136737125	
VEGFC	1.511939516	0.137238532	
RPS27A	0.70696875	0.137335892	
TMEM50B	0.612892711	0.137635965	
ITGA2	0.764114075	0.137738414	
LBP	1.240088751	0.137831075	
CMAS	1.373858631	0.138520509	
SERPINE1	1.317623536	0.139415725	
NUMB	1.330703369	0.140181484	
INF2	0.694449433	0.140501085	
KIF2A	0.60946174	0.140576263	
CMTM5	0.484202109	0.140713936	
HBG1	0.463124472	0.140733538	
CLIC1	0.710384274	0.140839592	
LAMTOR1	0.540650283	0.140911278	
SKAP2	0.642627606	0.141092382	
CAVIN2	0.650656094	0.141202266	
PPBP	1.536614294	0.14137188	
PPIA	0.708875731	0.141441479	
VPS28	0.783401006	0.142031344	
HNRNPA2B1	1.385473426	0.142557262	
RAB37	0.636291135	0.143044497	
BPI	1.592336494	0.14370746	
PSMA5	0.64458481	0.14383722	
COMP	0.51182455	0.14415254	
DLD	1.232774817	0.145126166	
IGHV4-31	0.390956909	0.145196174	
NUP210	1.105333586	0.145922696	
ESYT2	1.570725031	0.14632255	
TTC14	1.540093913	0.146882059	
LAMTOR2	1.195613918	0.147009016	
COMT	1.793109853	0.14703223	
RSU1	0.659954914	0.147252868	
TMA7	1.579523575	0.147265184	
ARF4	0.662501205	0.147266006	
RASAL3	1.251613689	0.147431567	
SPTBN1	1.310491972	0.147526977	
LIMS1	0.669989998	0.147842325	
RHOA	0.785612318	0.148464817	
CCT7	0.867387322	0.148859487	
PRB1	1.704681615	0.149035281	
PLA2G12B	1.281814117	0.149262401	
AP2B1	0.58232179	0.149270592	
ASAP1	0.819186376	0.149922158	
CA1	0.74953464	0.150037951	
IGF2	1.220909905	0.150148587	
RTN4	0.66950644	0.150534284	
GLO1	0.589883704	0.150668542	
ACTBL2	0.789911395	0.151346853	
IGHV3-35	1.341984758	0.151681142	
CRKL	0.707947793	0.152093347	
LRCH4	1.17043757	0.152354088	
CNN2	0.765007918	0.152561517	
CHMP5	1.184611718	0.15362185	
EIF5A	0.835127979	0.153990325	
PPP1CA	0.790095652	0.154225946	
SDHA	1.532432075	0.154800944	
DCTN2	0.713357359	0.154995159	
PLEK	0.647370083	0.155775013	
PHGDH	1.202375494	0.155860717	
SELP	0.816885595	0.156288311	
TUBB6	1.255027858	0.156706964	
LRSAM1	0.681750087	0.156884715	
ATP6V1A	0.834586096	0.157321921	
PRRC2C	0.680026386	0.158421565	
ALDOC	0.671637764	0.159202902	
STIP1	0.900460765	0.159834832	
HGS	0.704703795	0.160442329	
RPL5	0.476908669	0.160460248	
CHID1	1.195534802	0.160681547	
CCN2	1.667547179	0.161280664	
POF1B	0.171235695	0.161619424	
MMP9	1.31026792	0.161956212	
COPB2	1.358191124	0.162244422	
CASP3	0.557306229	0.162728457	
ALOX12	0.706324333	0.16286581	
MINPP1	0.806592173	0.162895338	
IGFBP6	1.189236546	0.164444097	
ECE1	1.769470874	0.165014748	
DNM2	0.84876447	0.166196609	
MMP10	1.173268788	0.166318821	
NRGN	0.652811567	0.166871779	
KRT16	0.526476978	0.167038625	
EIF3B	0.636433101	0.167411126	
DCXR	1.212644888	0.168952061	
PAFAH1B2	0.752307244	0.169853665	
CORO1A	0.751134111	0.169900734	
LSM3	1.193204228	0.170351037	
GRHPR	1.33237335	0.170856667	
CST3	1.156346795	0.17087959	
EHD3	0.83710288	0.17088291	
DEK	0.624726954	0.171185264	
NME2	0.727772493	0.171188941	
EDF1	1.454204514	0.17230904	
MMP25	0.701864674	0.172642268	
MAP1A	0.609935704	0.174881375	
F8	0.852971041	0.176668473	
FHOD1	0.677494788	0.177234646	
VAMP3	1.936335198	0.177358939	
PROSER2	0.578323978	0.177676821	
SFRP4	1.154517683	0.178692339	
SVIL	1.195494401	0.179115314	
