PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
36690343,Enhancing the production of a heterologous Trametes laccase (LacA) by replacement of the major cellulase CBH1 in Trichoderma reesei,"Zhang J, Hong Y, Li K, Sun Y, Yao C, Ling J, Zhong Y.",J Ind Microbiol Biotechnol. 2023 Feb 17;50(1):kuad002. doi: 10.1093/jimb/kuad002.,Zhang J,J Ind Microbiol Biotechnol,2023,2023/1/23,PMC10124127,,10.1093/jimb/kuad002
36596092,Production of bovine beta-lactoglobulin and hen egg ovalbumin by Trichoderma reesei using precision fermentation technology and testing of their techno-functional properties,"Aro N, Ercili-Cura D, Andberg M, Silventoinen P, Lille M, Hosia W, Nordlund E, Landowski CP.",Food Res Int. 2023 Jan;163:112131. doi: 10.1016/j.foodres.2022.112131. Epub 2022 Nov 17.,Aro N,Food Res Int,2023,2023/1/3,,,10.1016/j.foodres.2022.112131
37396877,Safety evaluation of the food enzyme endo-polygalacturonase from the genetically modified Trichoderma reesei strain RF6197,"EFSA Panel on Food Contact Materials, Enzymes and Processing Aids (CEP); Lambré C, Barat Baviera JM, Bolognesi C, Cocconcelli PS, Crebelli R, Gott DM, Grob K, Lampi E, Mengelers M, Mortensen A, Rivière G, Steffensen IL, Tlustos C, Van Loveren H, Vernis L, Zorn H, Glandorf B, Andryszkiewicz M, Gomes A, Kovalkovicova N, Liu Y, di Piazza G, Chesson A.",EFSA J. 2023 Jun 29;21(6):e08096. doi: 10.2903/j.efsa.2023.8096. eCollection 2023 Jun.,"EFSA Panel on Food Contact Materials, Enzymes and Processing Aids (CEP)",EFSA J,2023,2023/7/3,PMC10308264,,10.2903/j.efsa.2023.8096
37396873,Safety evaluation of the food enzyme pectinesterase from the genetically modified Trichoderma reesei strain RF6201,"EFSA Panel on Food Contact Materials, Enzymes and Processing Aids (CEP); Lambré C, Barat Baviera JM, Bolognesi C, Cocconcelli PS, Crebelli R, Gott DM, Grob K, Lampi E, Mengelers M, Mortensen A, Rivière G, Steffensen IL, Tlustos C, Van Loveren H, Vernis L, Zorn H, Glandorf B, Andryszkiewicz M, Gomes A, Kovalkovicova N, Liu Y, di Piazza G, Chesson A.",EFSA J. 2023 Jun 29;21(6):e08097. doi: 10.2903/j.efsa.2023.8097. eCollection 2023 Jun.,"EFSA Panel on Food Contact Materials, Enzymes and Processing Aids (CEP)",EFSA J,2023,2023/7/3,PMC10308263,,10.2903/j.efsa.2023.8097
37218014,The Ras small GTPase RSR1 regulates cellulase production in Trichoderma reesei,"Li N, Qiu Z, Cai W, Shen Y, Wei D, Chen Y, Wang W.",Biotechnol Biofuels Bioprod. 2023 May 23;16(1):87. doi: 10.1186/s13068-023-02341-z.,Li N,Biotechnol Biofuels Bioprod,2023,2023/5/22,PMC10204303,,10.1186/s13068-023-02341-z
37118821,Mechanism of Zn(2+) regulation of cellulase production in Trichoderma reesei Rut-C30,"Li N, Li J, Chen Y, Shen Y, Wei D, Wang W.",Biotechnol Biofuels Bioprod. 2023 Apr 28;16(1):73. doi: 10.1186/s13068-023-02323-1.,Li N,Biotechnol Biofuels Bioprod,2023,2023/4/29,PMC10148476,,10.1186/s13068-023-02323-1
37545762,Establishment of a genome editing tool using CRISPR-Cas9 ribonucleoprotein complexes in the non-model plant pathogen Sphaerulina musiva,"Tannous J, Sawyer C, Hassan MM, Labbe JL, Eckert C.",Front Genome Ed. 2023 Jul 21;5:1110279. doi: 10.3389/fgeed.2023.1110279. eCollection 2023.,Tannous J,Front Genome Ed,2023,2023/8/7,PMC10401582,,10.3389/fgeed.2023.1110279
37143012,High-level production of Aspergillus niger prolyl endopeptidase from agricultural residue and its application in beer brewing,"Liu M, Hu M, Zhou H, Dong Z, Chen X.",Microb Cell Fact. 2023 May 4;22(1):93. doi: 10.1186/s12934-023-02087-1.,Liu M,Microb Cell Fact,2023,2023/5/4,PMC10161650,,10.1186/s12934-023-02087-1
37630525,The Cerato-Platanin EPL2 from Trichoderma reesei Is Not Directly Involved in Cellulase Formation but in Cell Wall Remodeling,"Silva AC, Oshiquiri LH, de Morais Costa de Jesus LF, Maués DB, Silva RDN.",Microorganisms. 2023 Jul 31;11(8):1965. doi: 10.3390/microorganisms11081965.,Silva AC,Microorganisms,2023,2023/8/26,PMC10459490,,10.3390/microorganisms11081965
37719209,Enhanced production of select phytocannabinoids in medical Cannabis cultivars using microbial consortia,"Ahmed B, Beneš F, Hajšlová J, Fišarová L, Vosátka M, Hijri M.",Front Plant Sci. 2023 Aug 31;14:1219836. doi: 10.3389/fpls.2023.1219836. eCollection 2023.,Ahmed B,Front Plant Sci,2023,2023/9/18,PMC10502174,,10.3389/fpls.2023.1219836
35997626,Enzyme kinetics by GH7 cellobiohydrolases on chromogenic substrates is dictated by non-productive binding: insights from crystal structures and MD simulation,"Haataja T, Gado JE, Nutt A, Anderson NT, Nilsson M, Momeni MH, Isaksson R, Väljamäe P, Johansson G, Payne CM, Ståhlberg J.",FEBS J. 2023 Jan;290(2):379-399. doi: 10.1111/febs.16602. Epub 2022 Sep 6.,Haataja T,FEBS J,2023,2022/8/23,PMC10087753,,10.1111/febs.16602
36818641,"Safety and efficacy of a feed additive consisting of endo-1,4-beta-xylanase produced by Trichoderma reesei ATCC PTA-5588, protease produced by Bacillus subtilis CBS 148232, and alpha-amylase produced by Bacillus licheniformis ATCC SD-6525 (Axtra® XAP 104 TPT) for chickens for fattening, laying hens and minor poultry species (Genencor international B.V.)","EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP); Bampidis V, Azimonti G, Bastos ML, Christensen H, Dusemund B, Fašmon Durjava M, Kouba M, López-Alonso M, Puente SL, Marcon F, Mayo B, Pechová A, Petkova M, Ramos F, Sanz Y, Villa RE, Woutersen R, Dierick N, Saarela M, Brozzi R, Pettenati E, Anguita M.",EFSA J. 2023 Feb 16;21(2):e07816. doi: 10.2903/j.efsa.2023.7816. eCollection 2023 Feb.,EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP),EFSA J,2023,2023/2/23,PMC9933466,,10.2903/j.efsa.2023.7816
35570523,Using Bacteria and Fungi as Plant Biostimulants for Sustainable Agricultural Production Systems,"Shahrajabian MH, Cheng Q, Sun W.",Recent Pat Biotechnol. 2023;17(3):206-244. doi: 10.2174/1872208316666220513093021.,Shahrajabian MH,Recent Pat Biotechnol,2023,2022/5/16,,,10.2174/1872208316666220513093021
36986869,Use of a Cellulase from Trichoderma reesei as an Adjuvant for Enterococcus faecalis Biofilm Disruption in Combination with Antibiotics as an Alternative Treatment in Secondary Endodontic Infection,"Velázquez-Moreno S, González-Amaro AM, Aragón-Piña A, López-López LI, Sánchez-Sánchez R, Pérez-Díaz MA, Oliva Rodríguez R, Lorenzo-Leal AC, González-Ortega O, Martinez-Gutierrez F, Bach H.",Pharmaceutics. 2023 Mar 21;15(3):1010. doi: 10.3390/pharmaceutics15031010.,Velázquez-Moreno S,Pharmaceutics,2023,2023/3/29,PMC10059093,,10.3390/pharmaceutics15031010
34311632,New cytochalasans from an endophytic Xylaria species associated with Costa Rican Palicourea elata (Rubiaceae),"Hinterdobler W, Bacher M, Shi BB, Baurecht D, Krisai-Greilhuber I, Schmoll M, Brecker L, Valant-Vetschera K, Schinnerl J.",Nat Prod Res. 2023 Jan;37(1):85-92. doi: 10.1080/14786419.2021.1956490. Epub 2021 Jul 27.,Hinterdobler W,Nat Prod Res,2023,2021/7/27,,,10.1080/14786419.2021.1956490
37295111,Flattened and Wrinkled Encapsulated Droplets: Shape Morphing Induced by Gravity and Evaporation,"Riccobelli D, Al-Terke HH, Laaksonen P, Metrangolo P, Paananen A, Ras RHA, Ciarletta P, Vella D.",Phys Rev Lett. 2023 May 26;130(21):218202. doi: 10.1103/PhysRevLett.130.218202.,Riccobelli D,Phys Rev Lett,2023,2023/6/9,,,10.1103/PhysRevLett.130.218202
37183352,Toward standardized solid medium cultivations: Online microbial monitoring based on respiration activity,"Finger M, Schröder E, Berg C, Dinger R, Büchs J.",Biotechnol J. 2023 Aug;18(8):e2200627. doi: 10.1002/biot.202200627. Epub 2023 May 23.,Finger M,Biotechnol J,2023,2023/5/15,,,10.1002/biot.202200627
36436849,Preparation of nanocellulose crystal from bleached pulp with an engineering cellulase and co-production of ethanol,"Yang T, Li X, Guo Y, Zhao J, Qu Y.",Carbohydr Polym. 2023 Feb 1;301(Pt A):120291. doi: 10.1016/j.carbpol.2022.120291. Epub 2022 Nov 2.,Yang T,Carbohydr Polym,2023,2022/11/27,,,10.1016/j.carbpol.2022.120291
36813049,Solid-state fermentation-based enzyme-assisted extraction of eicosapentaenoic acid-rich oil from Nannochloropsis sp,"Bhattacharya R, Sachin S, Sivakumar R, Ghosh S.",Bioresour Technol. 2023 Apr;374:128763. doi: 10.1016/j.biortech.2023.128763. Epub 2023 Feb 20.,Bhattacharya R,Bioresour Technol,2023,2023/2/22,,,10.1016/j.biortech.2023.128763
36925076,Improving cold-adaptability of mesophilic cellulase complex with a novel mushroom cellobiohydrolase for efficient low-temperature ensiling,"Gong M, Wang Y, Bao D, Jiang S, Chen H, Shang J, Wang X, Hnin Yu H, Zou G.",Bioresour Technol. 2023 May;376:128888. doi: 10.1016/j.biortech.2023.128888. Epub 2023 Mar 15.,Gong M,Bioresour Technol,2023,2023/3/16,,,10.1016/j.biortech.2023.128888
35152802,"Utilization of exogenous fibrolytic enzymes in fiber fermentation, degradation, and digestions and characteristics of whole legume faba bean and its plant silage","Yang JC, Guevara-Oquendo VH, Christensen D, Lardner HB, Refat B, Rodríguez Espinosa ME, Yu P.",Crit Rev Food Sci Nutr. 2023;63(23):6114-6125. doi: 10.1080/10408398.2022.2028126. Epub 2022 Feb 14.,Yang JC,Crit Rev Food Sci Nutr,2023,2022/2/14,,,10.1080/10408398.2022.2028126
37418595,Revisiting the AA14 family of lytic polysaccharide monooxygenases and their catalytic activity,"Tuveng TR, Østby H, Tamburrini KC, Bissaro B, Hegnar OA, Stepnov AA, Várnai A, Berrin JG, Eijsink VGH.",FEBS Lett. 2023 Aug;597(16):2086-2102. doi: 10.1002/1873-3468.14694. Epub 2023 Jul 16.,Tuveng TR,FEBS Lett,2023,2023/7/7,,,10.1002/1873-3468.14694
36937311,A microfluidic device for simultaneous detection of enzyme secretion and elongation of a single hypha,"Itani A, Shida Y, Ogasawara W.",Front Microbiol. 2023 Mar 3;14:1125760. doi: 10.3389/fmicb.2023.1125760. eCollection 2023.,Itani A,Front Microbiol,2023,2023/3/20,PMC10020217,,10.3389/fmicb.2023.1125760
37121521,Enhanced biovalorization of palm biomass wastes as biodiesel feedstocks through integrated solid-state and submerged fermentations by fungal co-cultures,"Intasit R, Cheirsilp B, Louhasakul Y, Thongchul N.",Bioresour Technol. 2023 Jul;380:129105. doi: 10.1016/j.biortech.2023.129105. Epub 2023 Apr 28.,Intasit R,Bioresour Technol,2023,2023/4/30,,,10.1016/j.biortech.2023.129105
37507015,"The ""life-span"" of lytic polysaccharide monooxygenases (LPMOs) correlates to the number of turnovers in the reductant peroxidase reaction","Kuusk S, Eijsink VGH, Väljamäe P.",J Biol Chem. 2023 Jul 26;299(9):105094. doi: 10.1016/j.jbc.2023.105094. Online ahead of print.,Kuusk S,J Biol Chem,2023,2023/7/28,PMC10458328,,10.1016/j.jbc.2023.105094
36649434,Compressibility and porosity modulate the mechanical properties of giant gas vesicles,"Al-Terke HH, Beaune G, Junaid M, Seitsonen J, Paananen A, Timonen JVI, Joensuu J, Brochard-Wyart F, Ras RHA.",Proc Natl Acad Sci U S A. 2023 Jan 24;120(4):e2211509120. doi: 10.1073/pnas.2211509120. Epub 2023 Jan 17.,Al-Terke HH,Proc Natl Acad Sci U S A,2023,2023/1/17,PMC9942814,,10.1073/pnas.2211509120
37341752,The phenomenon of strain degeneration in biotechnologically relevant fungi,"Danner C, Mach RL, Mach-Aigner AR.",Appl Microbiol Biotechnol. 2023 Aug;107(15):4745-4758. doi: 10.1007/s00253-023-12615-z. Epub 2023 Jun 21.,Danner C,Appl Microbiol Biotechnol,2023,2023/6/21,PMC10345034,,10.1007/s00253-023-12615-z
37049971,Chemical Characterization of Trichoderma spp. Extracts with Antifungal Activity against Cocoa Pathogens,"Chóez-Guaranda I, Espinoza-Lozano F, Reyes-Araujo D, Romero C, Manzano P, Galarza L, Sosa D.",Molecules. 2023 Apr 4;28(7):3208. doi: 10.3390/molecules28073208.,Chóez-Guaranda I,Molecules,2023,2023/4/13,PMC10095870,,10.3390/molecules28073208
36735958,Solid-State Fermentation of Trichoderma spp.: A New Way to Valorize the Agricultural Digestate and Produce Value-Added Bioproducts,"Bulgari D, Alias C, Peron G, Ribaudo G, Gianoncelli A, Savino S, Boureghda H, Bouznad Z, Monti E, Gobbi E.",J Agric Food Chem. 2023 Mar 8;71(9):3994-4004. doi: 10.1021/acs.jafc.2c07388. Epub 2023 Feb 3.,Bulgari D,J Agric Food Chem,2023,2023/2/3,PMC9999421,,10.1021/acs.jafc.2c07388
36562976,On-site enriched production of cellulase enzyme using rice straw waste and its hydrolytic performance evaluation through systematic dynamic modeling,"Dey P, Chakrabortty S, Haldar D, Rangarajan V, Ashok S.",Environ Sci Pollut Res Int. 2023 Mar;30(13):36710-36727. doi: 10.1007/s11356-022-24797-6. Epub 2022 Dec 23.,Dey P,Environ Sci Pollut Res Int,2023,2022/12/23,,,10.1007/s11356-022-24797-6
37623631,Comparative Genomics and Transcriptomics Analyses Reveal Divergent Plant Biomass-Degrading Strategies in Fungi,"Li J, Wiebenga A, Lipzen A, Ng V, Tejomurthula S, Zhang Y, Grigoriev IV, Peng M, de Vries RP.",J Fungi (Basel). 2023 Aug 18;9(8):860. doi: 10.3390/jof9080860.,Li J,J Fungi (Basel),2023,2023/8/25,PMC10455118,,10.3390/jof9080860
37304348,"Safety and efficacy of a feed additive consisting of endo-1,4-beta-xylanase, endo-1,3(4)-beta-glucanase and endo-1,4-beta-glucanase produced by Trichoderma reeseiATCC 74444 (Ronozyme® Multigrain) for use in poultry for fattening, poultry for laying and piglets (weaned) (DSM Nutritional Products)","EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP); Bampidis V, Azimonti G, Bastos ML, Christensen H, Dusemund B, Durjava M, Kouba M, López-Alonso M, López Puente S, Marcon F, Mayo B, Pechová A, Petkova M, Ramos F, Sanz Y, Villa RE, Woutersen R, Anguita M, Innocenti M, Ortuño J, Pizzo F, Brozzi R.",EFSA J. 2023 Jun 9;21(6):e08043. doi: 10.2903/j.efsa.2023.8043. eCollection 2023 Jun.,EFSA Panel on Additives and Products or Substances used in Animal Feed (FEEDAP),EFSA J,2023,2023/6/12,PMC10251258,,10.2903/j.efsa.2023.8043
36742447,Biomolecules in modern and sustainable agriculture,"Schmaltz S, Silva MA, Ninaus RG, Guedes JVC, Zabot GL, Tres MV, Mazutti MA.",3 Biotech. 2023 Feb;13(2):70. doi: 10.1007/s13205-023-03486-2. Epub 2023 Jan 31.,Schmaltz S,3 Biotech,2023,2023/2/6,PMC9889597,,10.1007/s13205-023-03486-2
36575132,Direct production of 4-hydroxybenzoic acid from cellulose using cellulase-displaying Pichia pastoris,"Inokuma K, Miyamoto S, Morinaga K, Kobayashi Y, Kumokita R, Bamba T, Ito Y, Kondo A, Hasunuma T.",Biotechnol Bioeng. 2023 Apr;120(4):1097-1107. doi: 10.1002/bit.28321. Epub 2023 Jan 4.,Inokuma K,Biotechnol Bioeng,2023,2022/12/27,,,10.1002/bit.28321
37171691,Heterologous Expression of Plantaricin 423 and Mundticin ST4SA in Saccharomyces cerevisiae,"Rossouw M, Cripwell RA, Vermeulen RR, van Staden AD, van Zyl WH, Dicks LMT, Viljoen-Bloom M.",Probiotics Antimicrob Proteins. 2023 May 12. doi: 10.1007/s12602-023-10082-6. Online ahead of print.,Rossouw M,Probiotics Antimicrob Proteins,2023,2023/5/12,,,10.1007/s12602-023-10082-6
36090612,Amoeba-inspired magnetic microgel assembly assisted by engineered dextran-binding protein for vaccination against life-threatening systemic infection,"Liu S, Zhao Y, Guo L, Yu Q.",Nano Res. 2023;16(1):938-950. doi: 10.1007/s12274-022-4809-1. Epub 2022 Sep 2.,Liu S,Nano Res,2023,2022/9/12,PMC9438890,,10.1007/s12274-022-4809-1
36770972,(Magnetic) Cross-Linked Enzyme Aggregates of Cellulase from T. reesei: A Stable and Efficient Biocatalyst,"Ifko D, Vasić K, Knez Ž, Leitgeb M.",Molecules. 2023 Jan 30;28(3):1305. doi: 10.3390/molecules28031305.,Ifko D,Molecules,2023,2023/2/11,PMC9919482,,10.3390/molecules28031305
