Symbol	logFC	P.Value
SNUPN	-1.01861044	2.53e-06
CD58	2.155952678	2.59e-06
UBE4B	1.320810487	2.65e-06
TSC1	1.347163348	2.72e-06
STIP1	-0.622228596	2.82e-06
SFRS14	1.360586598	2.89e-06
ZNF302	2.096524929	3.03e-06
RPSA	2.364562618	3.15e-06
ARL5A	1.779171982	3.27e-06
KHDRBS3	-0.71618308	3.34e-06
C12orf35	2.12767236	3.46e-06
PTGER4	2.186686235	3.62e-06
FOXN3	1.02847497	3.8e-06
RGS2	2.236804296	3.86e-06
MTP18	-1.475748402	4e-06
CLK1	1.798022152	4.15e-06
INTS7	1.877025989	4.32e-06
PDPK1	1.782247494	4.55e-06
PTX3	2.519444827	4.69e-06
SLC25A43	2.030199153	4.79e-06
SNORA65	1.13801581	4.98e-06
PFN2	2.5765881	5.12e-06
RAB3IP	0.948380942	5.25e-06
UPF3A	1.736991438	5.49e-06
ID2	1.721521806	5.61e-06
DNTTIP2	1.098972038	5.76e-06
EPGN	1.64414763	5.91e-06
FOXN2	0.672033372	6.03e-06
SERINC3	2.059654805	6.24e-06
ZNF280C	2.029252822	6.4e-06
MAFF	1.428767454	6.74e-06
SORL1	1.439282566	6.91e-06
CA2	-1.712398534	7.13e-06
EIF2A	-0.549055758	7.35e-06
GABARAPL2	0.57664692	7.47e-06
TNRC6B	1.56215499	7.64e-06
RUFY1	1.642526534	7.77e-06
NKX2-3	2.110314985	7.98e-06
WEE1	1.746457309	8.21e-06
RFX7	1.76065487	8.36e-06
PPIG	1.83137275	8.62e-06
POLR2J2	1.644505494	8.79e-06
TBCC	1.619888854	8.96e-06
CYP20A1	1.290320358	9.17e-06
PDLIM5	-1.422713178	9.45e-06
CCDC46	2.41901324	9.83e-06
WDR75	1.204317544	1.02e-05
FUK	1.646168114	1.05e-05
TIPARP	2.060404204	1.07e-05
POLR1C	1.495168097	1.1e-05
BLZF1	1.303739249	1.13e-05
SNORD96A	1.126499844	1.16e-05
CRYZ	1.666434453	1.19e-05
SOX9	-1.675852261	1.22e-05
APPBP2	1.706852193	1.24e-05
PSME1	0.605966086	1.27e-05
TCF4	1.004840828	1.31e-05
TNF	1.756340553	1.36e-05
KRCC1	1.927623202	1.39e-05
NFKBIZ	1.537196876	1.43e-05
IFITM1	1.124261818	1.49e-05
RPS19BP1	-0.493504992	1.53e-05
OPA1	1.839990478	1.55e-05
TRPV2	1.582428164	1.61e-05
COG3	2.021691749	1.65e-05
EEF1AL7	1.564327526	1.69e-05
MFAP4	1.325440422	1.73e-05
MS4A4A	2.163678047	1.76e-05
RPF1	2.047447895	1.8e-05
ATE1	1.091371118	1.84e-05
CDC7	1.895522909	1.9e-05
SUMO1	1.843214128	1.95e-05
SENP6	2.054254083	1.99e-05
PM20D2	1.864976	2.01e-05
ZNF536	-3.245611079	2.1e-05
PHF14	1.405056079	2.12e-05
TANK	1.553908346	2.19e-05
PBX2	1.265624405	2.22e-05
CCDC101	-0.671734102	2.27e-05
ANKRD10	0.974091194	2.34e-05
CENPC1	1.865218021	2.38e-05
RPL23AP53	1.632980765	2.44e-05
NASP	1.886155726	2.49e-05
ASB8	1.520288609	2.54e-05
AIMP2	-0.6222194	2.63e-05
CCND3	1.138554104	2.68e-05
PPP1R9A	1.547346406	2.77e-05
LOC100129387	1.588227842	2.84e-05
ARF3	1.001890613	2.94e-05
MAX	0.828042398	2.99e-05
TSPAN13	1.762290549	3.05e-05
CRABP2	-1.969489663	3.13e-05
PRR14	1.678244829	3.19e-05
THEX1	1.233873742	3.26e-05
ARL3	-2.475377933	3.34e-05
TRIM3	1.482855492	3.41e-05
C18orf10	1.409729716	3.53e-05
C6orf150	-1.51976022	3.61e-05
WHSC1	1.395472753	3.68e-05
ELAVL4	1.51156836	3.71e-05
NPM2	2.160619254	3.84e-05
QKI	1.022292393	3.91e-05
MAP2K1IP1	1.143119006	4.05e-05
SOX8	2.466022375	4.12e-05
PLIN2	-1.014380152	4.26e-05
DCTN6	1.609833138	4.33e-05
NFX1	0.851560504	4.41e-05
KIAA0528	1.715480114	4.48e-05
PCBP2	1.059618458	4.58e-05
NOTCH1	1.38002185	4.75e-05
C13orf34	1.101862853	5.01e-05
ERG	1.972291785	5.05e-05
GNS	1.412627192	5.25e-05
ING1	1.213208715	5.31e-05
BRD1	1.627974316	5.42e-05
HAPLN1	1.626517923	5.58e-05
MTERFD3	1.432892203	5.77e-05
HNRNPD	0.649041508	5.87e-05
AP1B1	-0.722828622	6.04e-05
TERF1	0.800300108	6.17e-05
NANOG	1.572517228	6.35e-05
MTMR12	1.621170454	6.46e-05
RAB24	1.098961404	6.58e-05
C20orf7	1.655056574	6.69e-05
HSP90AA1	0.758839516	6.82e-05
ZC3H4	1.13352732	6.94e-05
ZNF551	1.445063213	7.06e-05
SSU72	0.882998466	7.25e-05
ACCN4	-1.955233235	7.38e-05
C10orf4	1.377417459	7.55e-05
GRB14	1.611288121	7.64e-05
RAB9A	1.429165288	7.73e-05
NPW	-1.164133614	7.89e-05
ILF3	-0.514490836	8e-05
FN3KRP	1.113362285	8.09e-05
KIAA1958	-1.039097932	8.18e-05
ANAPC11	-1.135186446	8.32e-05
TGIF1	1.489999938	8.41e-05
SPRY2	1.972210031	8.57e-05
SYCP2	1.695443035	8.7e-05
ZNF595	0.679550764	8.93e-05
SLC25A36	0.894119338	9.19e-05
PCDHA12	-2.687761128	9.34e-05
MAGEA5	-2.845362726	9.48e-05
HPS5	-1.468229994	9.71e-05
ANKDD1A	1.175851148	9.86e-05
RFC2	1.418221863	0.000100828
REPS2	1.490837152	0.00010179
LASS6	1.284108734	0.000103711
IRS1	-2.931171856	0.000106384
HIST1H2BB	2.159343541	0.00010857
ORMDL1	1.379340245	0.000109501
N4BP2	0.611920392	0.000112132
PIK3CA	1.329168789	0.000112969
EEF1A2	1.935837021	0.000114591
FNDC3A	1.344455365	0.000117384
SNORD83A	1.336176255	0.0001201
NP	0.647469122	0.000122359
EIF4A2	0.560845244	0.000124979
UBE1DC1	1.835332702	0.000126656
PRKRIR	0.887994304	0.000130079
FAM49B	1.420990267	0.000131742
SMPD4	1.422237681	0.000133979
CDH7	2.318363058	0.000135406
C7orf38	-0.883864062	0.000136764
ABCA10	1.130503462	0.000137942
ZNF670	1.463986247	0.000140311
CA14	1.265364418	0.000142109
MAP3K12	1.521923726	0.000144479
NAT1	1.440358325	0.000145654
APEX1	0.706550312	0.000147402
C19orf63	1.504545001	0.000149689
MGC70863	-1.023145306	0.000152707
C11orf57	1.177834026	0.000154554
CIB3	-3.421567621	0.000157095
NAALAD2	-1.046864513	0.000159817
ZNF226	0.80222709	0.000163374
MC5R	-2.452500594	0.000166096
TRAF5	-1.84651154	0.000168498
PAPD5	-0.767348126	0.000171584
RPIA	1.442907368	0.000174848
MAPKSP1	1.451744822	0.00017757
CTNND1	0.978219647	0.000182267
CDKN1B	1.315636036	0.000184103
EID2B	2.004722227	0.000187774
IFI44L	1.460028754	0.000190359
CASP3	-1.321516142	0.000195207
SLC25A13	1.426394947	0.000198037
ZNF467	0.96135926	0.000201387
BIRC2	0.847700086	0.000203798
GSTM1	1.146433819	0.000207035
TRIM66	1.545649988	0.000209932
MRPL14	-0.507809254	0.000212984
CAPN10	0.946554091	0.000215836
TIPRL	1.581400527	0.000219493
LRP4	-3.341197278	0.000222095
COX16	-1.29211428	0.000224927
FHL1	0.929239702	0.00022773
FEZ2	0.90393011	0.000232666
BAG2	1.319785425	0.000237158
SMARCA5	1.476169992	0.000241487
PPIE	1.191307853	0.000244347
KIAA0427	1.150787578	0.000248876
TGFB1I1	1.567171416	0.000251967
GPKOW	1.537914077	0.000257469
CORO6	-1.911186059	0.00026034
ABAT	1.195766212	0.000263415
SEZ6	1.32156248	0.000266134
GPR89A	-0.664784124	0.000271598
SPCS1	-0.423484948	0.000274426
FRG1	-0.424921762	0.000281013
ZNF644	1.50226711	0.000285832
COMMD5	-1.316385908	0.000288036
SYF2	0.723889576	0.000292252
UBE2E3	0.792753324	0.000297042
CRSP9	1.100958677	0.000301168
ASTE1	1.511464656	0.000305377
TBRG4	-2.082023646	0.000309888
INPP4B	1.386811532	0.000314221
VAPA	0.807523486	0.000317082
ZNF497	-1.249129784	0.00032045
CDC25A	-2.679128129	0.000323655
CCR7	-2.321547361	0.000329373
SPRY1	1.765241203	0.000332655
TRAPPC2P1	1.42620945	0.000336102
TMSB10	0.433773144	0.000338865
SAP130	-0.81988653	0.000345265
TNFRSF13C	-2.984479949	0.000351629
LOC100129354	-1.971157872	0.000357133
C19orf43	0.470724406	0.000361846
S100A10	1.1748288	0.000367903
ACTR10	1.438873885	0.000374711
CNOT7	-0.38125527	0.000381239
PHF20	1.012169423	0.000384163
ERLIN1	1.155558954	0.0003893
GPR137B	1.26940153	0.000391865
C3orf25	-1.720142327	0.000397361
IFIH1	1.492721779	0.000402253
LRRC25	1.429866659	0.000412581
SEMA6A	0.975739374	0.000415841
C15orf48	-2.209184284	0.000421163
SLC22A17	1.381403991	0.000424278
PDGFRB	2.187733718	0.000429245
REPIN1	0.941685704	0.000434462
TAF13	0.80751759	0.000441912
DKKL1	-1.262146312	0.00044796
HBQ1	-3.142391554	0.000452778
SNORD12	0.560267802	0.000461169
KLF3	1.335798479	0.00046639
DDOST	0.990832622	0.00047571
FBXO9	-0.627801524	0.000483598
C6orf211	1.184956254	0.000487909
NSD1	1.173786499	0.000493847
RHBDD2	1.414624773	0.000499574
UBQLN3	-0.814019705	0.000507603
LRRTM3	-1.826182927	0.000512238
PAWR	0.726036702	0.000520174
THOC2	1.283707245	0.00052626
TBX1	-3.201623042	0.000531265
EZH2	0.739954328	0.000539625
LOC152195	2.144724899	0.000545421
HERC5	1.288344118	0.000551844
RPE	-1.430639817	0.000557808
CDC123	-0.62167062	0.000561472
SH2D3C	1.080365724	0.000571173
LONP1	-0.51515544	0.000578103
LOC400657	1.435470045	0.000587722
BTBD2	1.303166118	0.000593793
EXOC4	0.953824526	0.000599852
SFRS13A	0.962800095	0.000604363
CAMK1D	0.615493338	0.000612719
C2orf69	0.609508074	0.000619403
DHRS11	-1.604480938	0.000625147
GALNT14	1.635269905	0.000635281
KIAA1522	1.113269242	0.000642448
ASB15	1.526171573	0.00065013
PPP1R14A	-1.836918272	0.000659887
MGAT5B	-1.352652992	0.00066683
EML4	1.026876503	0.000675303
AKAP14	-3.265865732	0.000680586
PSCD1	0.548503026	0.000696084
CNTNAP4	-1.974833426	0.000702877
TSC22D4	-1.138891389	0.000716178
KCTD18	0.873309011	0.000722644
SNORD114-29	1.288976662	0.00073296
GPR146	1.788736198	0.00074215
CSRP2BP	0.936142519	0.000751676
PHF11	-0.682870492	0.000756215
RPL26L1	-0.400061902	0.000763996
PPM1G	-0.446943706	0.000770587
PSG6	-2.939501121	0.000776823
DLG3	1.358897779	0.000785997
MATR3	0.3705278	0.000794737
CEP170	1.257946486	0.000800803
PFAAP5	1.103322325	0.000814518
RBM10	-0.874039022	0.000823042
TACC2	-3.358191486	0.000837819
LAMA3	-3.130274197	0.00084873
C16orf7	1.036702228	0.000858666
C1orf116	-2.350991587	0.00086736
STX2	1.508113973	0.000878592
ATP6V1B1	-1.986628416	0.000885037
LRRC34	1.569384477	0.000893831
RIC8A	1.033586852	0.000901384
ZNF800	1.235973861	0.000914799
CHEK2	0.99643825	0.000925098
MACF1	0.816633526	0.00094639
WAC	1.455489808	0.00095737
PAX5	-3.207717444	0.00096775
AEBP1	1.351888854	0.000974971
WDR34	-1.124573954	0.000995781
RASGEF1B	0.99627046	0.001009482
SRRM1	0.716193654	0.001025898
EI24	1.48956158	0.001037982
GMPS	1.225289404	0.001049488
C1orf151	-1.720361829	0.001057826
TSLP	-2.229124949	0.001065353
SMAD1	2.145956524	0.001076422
C5orf53	1.289163862	0.001096118
ZCCHC10	1.330270295	0.001108523
CAPN12	1.092107048	0.001118182
RRS1	1.616104532	0.00113506
FASTK	1.354213262	0.001144581
CER1	-3.154897732	0.001155518
TMTC3	1.333238507	0.001162911
UBR4	-0.401312748	0.001175138
VPS13A	1.15325764	0.001187996
CPSF3L	-0.3880755	0.001201913
KCTD12	1.877643679	0.001211441
IBTK	1.377781487	0.001224599
ZFX	1.033226178	0.001242356
C4orf15	-2.918341424	0.001252563
CCDC77	1.110727431	0.001263611
UGT1A9	-2.672157938	0.001274665
TMEM63A	0.627157654	0.001288049
ATP5H	1.0860265	0.001303565
KCNMA1	-3.359911189	0.001320959
MEGF9	-1.343324407	0.001333237
GAL	-0.746119995	0.001360137
OSBPL5	-1.262129705	0.001367055
AVPR1B	-1.841751192	0.001382498
ABHD2	-2.574245931	0.001398321
CTSB	0.900849528	0.001416549
PUM2	0.95292739	0.001428277
TTPA	1.103598862	0.001434702
ABTB1	0.893182442	0.001448918
UPP1	-2.597816815	0.001467758
OGN	-1.884203308	0.001497499
VMO1	-1.802549063	0.00151258
DLG1	1.303375128	0.001526092
C1orf116	1.686339095	0.001546202
CDC34	1.192995892	0.001561718
TCEB3C	-2.295829897	0.001583427
ALPL	-2.820529128	0.001596266
UBC	0.355000546	0.001619278
C19orf61	-0.814018954	0.001641668
CCDC16	0.964772218	0.001661545
TMLHE	1.274449784	0.001676764
ARD1B	-3.189267562	0.001692568
GCH1	1.085507808	0.001712347
TGFBR1	1.167301142	0.001722794
GGA1	-1.26302191	0.001736963
PRUNE2	0.781088705	0.001760885
HNRNPAB	-0.374695658	0.001782178
RBM9	0.973676923	0.001797396
MYH11	-1.803019603	0.001812047
SEC14L3	-1.504486959	0.001832248
PHF6	-0.63200399	0.001848137
ACSL6	-4.265437297	0.001861549
GADD45A	1.113397566	0.00187582
PPIL5	-0.641788072	0.001912154
CUL5	1.289519893	0.001924459
SERPINB3	-2.830420471	0.001942404
DDB1	0.992164564	0.001960316
FYN	0.72145558	0.00197765
TIMP1	-0.48548204	0.001995199
TPT1	0.388282274	0.002015752
DDI2	-1.986160947	0.002028521
RSHL3	-1.405679462	0.002044599
WDR24	-0.986012606	0.002060253
DLK1	1.497432856	0.002072765
TBC1D8B	1.185774905	0.002092923
IFRG15	0.694721184	0.00211415
KIAA1755	-1.135757903	0.002138528
SLC39A4	-2.601012855	0.002153054
APPL2	0.595310922	0.002170245
WDR47	-1.024886536	0.002186944
OPRM1	-1.89524195	0.002206941
C4orf17	-1.816231713	0.002229109
WDR90	-1.369160537	0.002251033
PTPRM	1.495178418	0.002282769
EXOC2	-1.427909834	0.002296462
FIBP	-0.387728396	0.002328484
PKD1L2	-3.072535006	0.002350742
LOC150786	0.808418968	0.002375282
PIWIL2	-2.285413845	0.002409279
RNF135	1.43828374	0.002430538
SENP1	0.965977234	0.002446326
TRPC4AP	0.961452564	0.002471274
IRAK3	0.550730768	0.002488045
TXNDC5	-2.893108594	0.002517668
NETO1	-2.309386556	0.002538727
HNRNPUL1	0.851980624	0.002569507
RASGRP1	1.685322582	0.002592817
PPP2R2B	-2.975651801	0.002611564
HELB	-1.284624162	0.00262819
CPSF3	-0.474907864	0.002652798
ARHGAP29	0.885934401	0.002674995
ASB5	1.325197891	0.002697602
LZIC	-0.892715378	0.002716074
CMTM2	1.322441253	0.002739534
FVT1	1.15206659	0.002760298
ROMO1	0.494594428	0.002788948
FGF13	0.590292867	0.002809437
BCL6	0.802980658	0.002831448
MICB	-0.509267472	0.002849643
HAND2	-2.345449754	0.002863942
ATG3	0.82826359	0.002892408
LTBP3	1.502111966	0.002922946
FCER2	-2.855665784	0.002949223
RSL1D1	0.670485816	0.002983821
THUMPD3	1.130368185	0.003002807
NTM	-3.163609465	0.00302578
PCTP	-1.077719543	0.003053665
DAP3	-0.366443206	0.003087578
OR10G7	-2.346711945	0.003115982
LOC731779	-1.664268059	0.003142527
KY	-2.703524857	0.003168137
PIK3AP1	1.125875451	0.00319454
SCARB2	0.790934	0.003205893
ADAMTS14	-2.300450243	0.003245322
RPN2	0.453976048	0.003266986
NR4A1	0.919798892	0.003294211
C5orf51	1.824771266	0.003323907
TIA1	1.300203456	0.003355823
PPP1R12C	0.69342101	0.003377932
RCHY1	1.229208776	0.003406191
SPATA1	1.038132467	0.003437362
CPNE1	-0.33743684	0.003484648
PBXIP1	0.892054694	0.003504879
CTRB2	-2.729192746	0.003547756
SFRS2IP	0.618629914	0.003575185
HNRNPA1L2	0.66394771	0.00359277
TBC1D10C	0.39082699	0.003624273
ATP2B2	-3.063781881	0.003678813
UBXN11	-0.48471504	0.003699781
KLHL7	-1.195808523	0.003736902
FABP6	-4.002523722	0.00376309
PRPS1	0.857308386	0.003806157
KLHL13	-1.138000096	0.003821632
IL11RA	1.000839773	0.003861104
GRN	0.828678338	0.003894674
FTHL2	0.934285082	0.003937008
GLI3	-2.254666241	0.003970744
SCGB1D2	-2.608797605	0.003998568
SFRS17A	0.40396587	0.004026442
ZNF322A	0.821249917	0.00405233
RGAG4	2.071231166	0.00408247
CPZ	-2.355263714	0.004105708
HRK	-1.988965898	0.004129033
SYVN1	1.105122479	0.004174788
CCND1	1.107752594	0.004218582
GM2A	-0.948256744	0.004242633
BCCIP	-0.34643063	0.004272568
LOC164380	-2.254671848	0.004306405
VMAC	1.219538339	0.004330347
C4orf44	-1.787800442	0.004387724
RENBP	-1.706526734	0.004406808
TRPV6	1.396404223	0.004439222
TDGF1	0.772911392	0.004471672
KBTBD12	-2.743840017	0.004500759
CUTA	-0.371549588	0.0045414
MFSD4	-1.998811521	0.004588906
LEPR	-2.032547025	0.004606481
ZFP106	0.949941487	0.004649383
S1PR3	-1.801330568	0.00467048
TOP3A	-0.843827398	0.004705592
ZNF439	0.739068606	0.004743441
ITPA	0.909644453	0.004787383
FAM102A	1.591140836	0.004808832
LOC389834	0.851081354	0.004835564
CRISPLD2	-2.199147897	0.004876448
INHBC	1.129521095	0.004917686
OR5P3	-2.688617757	0.004950128
PHF20L1	1.165426634	0.005004016
C1orf215	-0.463737176	0.00502226
FLJ20674	0.856658394	0.00505892
NANOS1	0.888426718	0.005096365
RREB1	-1.249111296	0.005136422
MEN1	-1.538069216	0.005187428
ASB3	0.76439139	0.005234576
UBQLN1	0.841705452	0.005260672
NUDT21	0.724566788	0.005279427
SMPDL3A	0.86380344	0.00532439
RINL	0.54358809	0.005376065
C7orf26	-0.529041676	0.005412084
SMAD6	2.079653623	0.005451922
C15orf2	-0.841016905	0.00549697
TMEM217	0.872529924	0.005534466
PPP2R3A	-1.65633503	0.005581868
C12orf10	-0.336564232	0.005639844
PLA2G2C	0.774107207	0.005669446
TMEM39B	0.925659339	0.005733548
ZDHHC16	-1.396993482	0.005768568
SYT3	-1.11039882	0.005811272
UBE2D1	0.572285442	0.005854956
BMP2K	0.841306312	0.005891898
VWF	-1.742370981	0.005935408
CA5A	-1.455330953	0.005982499
TPRKB	1.163762473	0.006027134
LOC642460	0.605265902	0.006070424
MAK	-2.02928541	0.00612687
ZSCAN16	-0.923497034	0.00616518
KLRC1	-1.826798611	0.006212345
SUPT5H	0.525605614	0.00625859
OR5D14	-1.710386442	0.006298358
RNY5	0.51465188	0.006352085
LOXHD1	-0.842965579	0.006383464
EFCAB5	-2.071203664	0.006423769
CRB3	-1.685823113	0.006475216
UBXN8	-0.78605862	0.006525989
GABRR2	-2.140741021	0.006554926
DERA	-0.369882176	0.006612357
HADH	0.944416198	0.006663431
MAN1A2	1.2167353	0.006737922
ST8SIA5	-2.724919241	0.006774399
URG4	0.919715274	0.006829293
SPSB3	0.390178438	0.006864069
TTC9C	-0.971039506	0.006923559
LOC645993	-2.198195716	0.006954804
IL31	1.580067351	0.007039872
C19orf55	-0.823878784	0.007069327
DCK	1.000464598	0.007144388
DNAJB13	0.785860629	0.007183902
FSTL4	-2.577760538	0.007260291
HSPC159	0.960239961	0.007300698
TLR9	-1.097958422	0.00734298
BAIAP2	-2.004645993	0.007412733
PCM1	0.643709996	0.007469629
TOMM6	1.009471817	0.007514844
A1CF	-1.895338905	0.007577085
CTBP2	0.918016947	0.007628919
NUDT9	0.753710504	0.007718085
GJC2	0.964074586	0.007761709
ZNF511	0.587662304	0.00780958
TP53INP2	0.918440374	0.00783487
VWA5A	1.397699046	0.007872954
C3orf50	1.188235701	0.007920943
HAGH	0.581388076	0.007984985
HIST1H1T	0.965803734	0.008026873
FUT7	-1.258196247	0.008070191
C5orf45	1.011354944	0.008132417
POMZP3	1.109590943	0.008184848
NACA2	-0.814143396	0.008271535
FGF6	0.624184856	0.008343938
FAM48B2	-2.882693444	0.008374822
STIM1	0.67454995	0.008451053
DMRT1	1.211804182	0.00850517
M6PR	-0.36872582	0.008569823
PRAME	-1.934200611	0.0085986
IL28RA	-2.627017971	0.008654384
FAM163A	-2.79117676	0.008702187
ZNF618	0.739643169	0.00878867
HMMR	-1.819343363	0.008864359
SPOCK3	1.122954455	0.008908521
C17orf58	-1.404948583	0.008963489
C1QTNF1	-0.990995689	0.009027289
ASB11	-2.627745715	0.009064289
CHSY3	-2.385859168	0.00912933
PKN1	0.687715756	0.009180373
ZNF607	-0.757181714	0.009246075
SFTPC	-1.563355603	0.0093001
TMEM20	-2.062058885	0.00937007
C15orf23	-2.017968578	0.009423955
C6orf57	1.127988524	0.009509061
C19orf24	-1.01627721	0.009580173
GALNTL6	-2.236006229	0.009635849
MPZL2	1.307425235	0.009690667
HPD	0.770352192	0.009761805
WDR46	-0.337872934	0.009799345
CELSR1	-1.743602476	0.009872054
MMP19	-1.580985761	0.009943577
ZRSR2	1.027837178	0.010011279
CDC42SE1	1.106138125	0.010078803
ATG12	0.449994136	0.010148525
C13orf30	-3.34345097	0.010210041
SEPX1	0.686177462	0.010275903
KIAA1217	-2.485152269	0.010318499
ANKRD20A4	-0.561180911	0.010398312
PCDH8	1.347457722	0.010455029
HPN	-1.104754485	0.01052303
CDC25C	-2.059249963	0.010591326
OR4X1	-2.398514483	0.010639212
STAR	1.108893494	0.010690168
HIAT1	0.589337102	0.010778946
C9orf45	0.745139112	0.010833051
ZNF696	-1.669703201	0.010889944
RIPK5	-0.727638318	0.010937755
RNASE4	-1.590024422	0.011024679
SSH1	-0.935543626	0.011082361
MTRF1	1.100288475	0.011144086
GPX7	-0.312179812	0.011198488
ASMTL	0.38865933	0.011258571
HMGCL	-0.64697913	0.01130415
VEZT	0.316810168	0.011370241
PNKD	0.898333454	0.011420456
BAG4	0.55414697	0.011500828
PCDHGA1	-2.488296239	0.011547605
ADSSL1	-1.454265216	0.011669442
BAT1	0.338730492	0.011726716
OR56B1	-1.722983596	0.011821218
KIAA0895	-1.826213218	0.011866161
GUCY1A2	-2.219966845	0.011949065
CLU	-1.243023219	0.012011293
C7orf13	-1.664434246	0.012090813
FLJ35024	1.006359045	0.012143871
C4orf26	-1.490223297	0.012228468
IL1F5	-2.27428572	0.012285108
NPL	-0.85628012	0.012352459
CXCL10	1.904856893	0.012434125
VASN	-1.721087073	0.012530121
